X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,QualityOfLife,CODE_DEFINED,LAT,LONG,ObjectId
-8477634.5350334,5313211.36743538,2024/02/20 00:00:00+00,1817,1817,100 CAMP AVE    ,False,SIMPLE ASSAULT,43.008142939,-76.15588676,118
-8472238.73894077,5322760.79310097,2024/04/25 00:00:00+00,1000,1010,200 N  COLLINGWOOD AVE    ,False,SIMPLE ASSAULT,43.070841,-76.107415499,119
-8477323.02658537,5323432.41241344,2024/02/20 00:00:00+00,2221,2225,100 BRACE ST     ,True,CRIMINAL MISCHIEF,43.0752481970001,-76.1530884319999,120
-8476631.03001023,5321087.4006888,2024/02/20 00:00:00+00,2055,2055,600 BUTTERNUT ST     ,False,ALL OTHER OFFENSES,43.0598587430001,-76.1468721209999,121
-8476661.34041515,5317339.69830812,2024/02/20 00:00:00+00,1040,1046,0 S  STATE ST     ,False,SIMPLE ASSAULT,43.035255922,-76.147144404,122
-8477361.82688257,5321634.62887654,2024/02/21 00:00:00+00,749,749,2000 LODI ST     ,False,OFFN AGAINST FAMILY,43.0634503470001,-76.153436981,123
-8473993.77308955,5322852.61465675,2024/01/30 00:00:00+00,1700,1800,100 FORDHAM RD     ,False,ALL OTHER OFFENSES,43.0714435560001,-76.123181239,124
-8474674.4606063,5312165.99367544,2024/02/21 00:00:00+00,4,4,100 LAFAYETTE RD     ,False,SIMPLE ASSAULT,43.001275504,-76.129295959,125
-8478041.29845651,5316428.40233798,2024/02/20 00:00:00+00,1100,1400,500 HUDSON ST     ,False,ALL OTHER OFFENSES,43.0292719780001,-76.159540778,126
-8474030.76566953,5321260.02165725,2024/02/21 00:00:00+00,1259,1259,100 BOYDEN PL     ,True,CRIMINAL MISCHIEF,43.060991723,-76.1235135489999,127
-8476840.29328709,5321931.97280689,2024/02/21 00:00:00+00,1530,1530,100 STRAND PL     ,False,POSSESSION/USE DRUG,43.0654018060001,-76.148751965,128
-8476192.04627371,5315113.72041438,2024/02/21 00:00:00+00,1444,1444,100 E  BRIGHTON AVE    ,False,ALL OTHER OFFENSES,43.020638208,-76.142928663,129
-8475309.98814333,5314590.38113043,2024/04/10 00:00:00+00,1824,1824,400 IVY RIDGE RD     ,False,CRIMINAL MISCHIEF,43.0172010000001,-76.135005,130
-8476013.44227705,5321046.50267217,2024/02/21 00:00:00+00,1712,1712,100 HIGHLAND PL     ,False,SIMPLE ASSAULT,43.05959031,-76.1413242359999,131
-8481383.35692203,5316680.28477763,2024/04/10 00:00:00+00,1919,1919,2200 BELLEVUE AVE    ,False,SIMPLE ASSAULT,43.0309260000001,-76.189563,132
-8476631.03001023,5321087.4006888,2024/02/21 00:00:00+00,1913,1913,600 BUTTERNUT ST     ,False,OFFN AGAINST FAMILY,43.0598587430001,-76.1468721209999,133
-8477382.0499605,5318739.12727371,2024/02/21 00:00:00+00,2209,2209,100 DICKERSON ST     ,False,OFFN AGAINST FAMILY,43.044444012,-76.153618648,134
-8475322.01064834,5322561.9314755,2024/04/10 00:00:00+00,1933,1933,600 HELEN ST     ,False,FRAUD,43.069536,-76.1351129999999,135
-8474488.08339224,5319122.63684231,2024/02/21 00:00:00+00,2201,2201,1500 E  GENESEE ST     ,False,SIMPLE ASSAULT,43.0469617420001,-76.127621704,136
-8472584.51275259,5322545.6864202,2024/02/22 00:00:00+00,900,900,100 NORWOOD AVE    ,False,KIDNAPPING,43.0694293930001,-76.110521638,137
-8475843.80450879,5312629.88025577,2024/02/22 00:00:00+00,1130,1143,200 SENECA DR     ,False,CRIMINAL MISCHIEF,43.0043230360001,-76.139800354,138
-8476219.19008438,5321887.20496296,2024/04/10 00:00:00+00,2120,2120,1100 BUTTERNUT ST     ,True,CRIMINAL MISCHIEF,43.0651080000001,-76.1431724999999,139
-8476121.83773879,5317979.36347985,2024/02/22 00:00:00+00,1729,1729,1200 ALMOND ST     ,False,OFFN AGAINST FAMILY,43.0394558780001,-76.142297969,140
-8477382.0499605,5318739.12727371,2024/02/22 00:00:00+00,1806,1806,100 DICKERSON ST     ,False,OFFN AGAINST FAMILY,43.044444012,-76.153618648,141
